CDMAT;RBBS0RK12;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RK15;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RK15;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RK16;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RK16;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RK17;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RK17;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RK30;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RK30;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RK32;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RK32;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RK33;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RK33;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RM01;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RM01;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RM02;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RM02;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RM03;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RM03;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RM04;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RM04;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RN01;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RN01;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RN02;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RN02;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RN03;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RN03;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RN04;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RN04;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RN06;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RN06;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RO01;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RO01;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RO02;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RO02;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RO03;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RO03;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RO04;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RO04;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RO05;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RO05;IT;"BORSA SINTETICA DONNA"
CDMAT;RBBS0RP01;EN;"LADY SYNTHETIC BAG"
CDMAT;RBBS0RP01;IT;"BORSA SINTETICA DONNA"
