RBBS0RK15;ZCO1;RB;0RK;PL;BS;BSH;BA;;F;;32,000;17,000;20,000;PZ;15W;15WA
RBBS0RK16;ZCO1;RB;0RK;PL;BS;BSH;BA;;F;;36,000;16,000;28,000;PZ;15W;15WA
RBBS0RK17;ZCO1;RB;0RK;PL;MB;MIB;BA;;F;;24,000;5,000;19,000;PZ;15W;15WA
RBBS0RK30;ZCO1;RB;0RK;PL;BM;BBU;BA;;F;;22,000;11,000;18,000;PZ;15W;15WA
RBBS0RK32;ZCO1;RB;0RK;PL;TC;BBD;BA;;F;;26,000;1,500;25,000;PZ;15W;15WA
RBBS0RK33;ZCO1;RB;0RK;PL;ZA;BZA;BA;;F;;29,000;15,000;37,000;PZ;15W;15WA
RBBS0RM01;ZCO1;RB;0RM;PL;BS;BSH;BA;;F;;31,000;12,000;25,000;PZ;15W;15WA
RBBS0RM02;ZCO1;RB;0RM;PL;BS;BSH;BA;;F;;35,000;10,000;27,000;PZ;15W;15WA
RBBS0RM03;ZCO1;RB;0RM;PL;BS;BSH;BA;;F;;30,000;12,000;31,000;PZ;15W;15WA
RBBS0RM04;ZCO1;RB;0RM;PL;BM;BBL;BA;;F;;25,000;20,000;24,000;PZ;15W;15WA
RBBS0RN01;ZCO1;RB;0RN;PL;BS;BSH;BA;;F;;40,000;12,000;32,000;PZ;15W;15WA
RBBS0RN02;ZCO1;RB;0RN;PL;ZA;BZA;BA;;F;;36,000;10,500;44,000;PZ;15W;15WA
RBBS0RN03;ZCO1;RB;0RN;PL;BS;BSE;BA;;F;;28,000;17,000;32,000;PZ;15W;15WA
RBBS0RN04;ZCO1;RB;0RN;PL;TC;BBD;BA;;F;;35,000;2,500;37,000;PZ;15W;15WA
RBBS0RN06;ZCO1;RB;0RN;PL;BM;BBL;BA;;F;;35,000;14,000;21,000;PZ;15W;15WA
RBBS0RO01;ZCO1;RB;0RO;PL;BM;BSH;BA;;F;;35,000;20,000;30,000;PZ;15W;15WA
RBBS0RO02;ZCO1;RB;0RO;PL;BM;BSH;BA;;F;;30,000;12,000;24,000;PZ;15W;15WA
RBBS0RO03;ZCO1;RB;0RO;PL;BS;BSA;BA;;F;;40,000;12,000;35,000;PZ;15W;15WA
RBBS0RO04;ZCO1;RB;0RO;PL;MB;BPO;BA;;F;;28,000;12,000;18,000;PZ;15W;15WA
RBBS0RO05;ZCO1;RB;0RO;PL;MB;BPO;BA;;F;;21,000;7,000;13,000;PZ;15W;15WA
RBBS0RP01;ZCO1;RB;0RP;PL;BS;BSA;BA;;F;;30,000;13,000;37,000;PZ;15W;15WA
RBBS0RP02;ZCO1;RB;0RP;PL;BM;BBL;BA;;F;;28,000;11,000;21,000;PZ;15W;15WA
RBBS0RP03;ZCO1;RB;0RP;PL;BM;BBL;BA;;F;;39,000;14,500;27,000;PZ;15W;15WA
RBBS0RP04;ZCO1;RB;0RP;PL;BM;BBL;BA;;F;;29,000;15,000;40,000;PZ;15W;15WA
RBBS0RP05;ZCO1;RB;0RP;PL;BS;BSA;BA;;F;;26,000;18,000;28,000;PZ;15W;15WA
RBBS0RS01;ZCO1;RB;0RS;PL;BS;BSH;BA;;F;;38,000;15,000;25,000;PZ;15W;15WA
RBBS0RS03;ZCO1;RB;0RS;PL;BS;BSA;BA;;F;;30,000;23,000;37,000;PZ;15W;15WA
RBBS0RS04;ZCO1;RB;0RS;PL;BS;BSH;BA;;F;;36,000;12,000;34,000;PZ;15W;15WA
RBBS0RS04A;ZCO1;RB;0RS;PL;BS;BSH;BA;;F;;36,000;12,000;34,000;PZ;15W;15WA
RBBS0SH01;ZCO1;RB;0SH;PL;BM;BPO;BA;;F;;30,000;7,000;21,000;PZ;15W;15WA
RBBS0SJ01;ZCO1;RB;0SJ;PL;BM;BPO;BA;;F;;25,000;4,000;16,000;PZ;15W;15WA
RBBS0T601;ZCO1;RB;0T6;PL;BS;BSH;BA;;F;;41,000;14,000;30,000;PZ;15W;15WA
RBBS0T602;ZCO1;RB;0T6;PL;BS;BSH;BA;;F;;32,000;12,000;33,000;PZ;15W;15WA
RBBS0T603;ZCO1;RB;0T6;PL;BS;BSE;BA;;F;;26,000;18,000;27,000;PZ;15W;15WA
RBBS0T604;ZCO1;RB;0T6;PL;BS;BSH;BA;;F;;41,000;14,000;30,000;PZ;15W;15WA
RBBS0T605;ZCO1;RB;0T6;PL;BS;BSA;BA;;F;;32,000;12,000;33,000;PZ;15W;15WA
RBBS0T606;ZCO1;RB;0T6;PL;BS;BSH;BA;;F;;35,000;15,000;27,000;PZ;15W;15WA
RBBS0W801B;ZCO1;RB;0W8;PL;MB;BPO;FA;;F;;27,000;6,500;15,000;PZ;15W;15WA
RBBS0W801M;ZCO1;RB;0W8;PL;MB;BPO;FA;;F;;27,000;6,500;15,000;PZ;15W;15WA
RBBS0W801N;ZCO1;RB;0W8;PL;MB;BPO;FA;;F;;27,000;6,500;15,000;PZ;15W;15WA
RBBS0W801S;ZCO1;RB;0W8;PL;MB;BPO;FA;;F;;27,000;6,500;15,000;PZ;15W;15WA
RBBS0W801V;ZCO1;RB;0W8;PL;MB;BPO;FA;;F;;27,000;6,500;15,000;PZ;15W;15WA
RBBS14601;ZCO1;RB;146;PL;BS;BSH;FA;;F;;0,000;0,000;0,000;PZ;15W;15WA
RBBS14602;ZCO1;RB;146;PL;BS;BSH;FA;;F;;0,000;0,000;0,000;PZ;15W;15WA
RBPS0Q9101;ZCO1;RB;0Q9;PP;PF;POF;BA;;F;;15,000;0,500;9,500;PZ;15W;15WA
RBPS0Q9103;ZCO1;RB;0Q9;PP;PF;POF;BA;;F;;15,000;0,500;9,500;PZ;15W;15WA
RBPS0Q9113;ZCO1;RB;0Q9;PP;PF;POF;BA;;F;;19,000;3,000;10,000;PZ;15W;15WA
RBPS0Q9114;ZCO1;RB;0Q9;PP;PF;POF;BA;;F;;14,000;2,500;10,000;PZ;15W;15WA
RBPS0Q947;ZCO1;RB;0Q9;PP;PF;POF;BA;;F;;18,500;4,000;10,000;PZ;15W;15WA
RBPS0QM101;ZCO1;RB;0QM;PP;PF;POF;FA;;F;;15,000;3,000;9,000;PZ;15W;15WA
RBPS0QM102;ZCO1;RB;0QM;PP;PF;POF;FA;;F;;12,000;3,000;10,000;PZ;15W;15WA
RBPS0QM103;ZCO1;RB;0QM;PP;PF;POF;FA;;F;;18,000;3,000;10,000;PZ;15W;15WA
RBPS0QM111;ZCO1;RB;0QM;PP;PF;POF;FA;;F;;8,000;2,000;15,000;PZ;15W;15WA
RBPS0QM113;ZCO1;RB;0QM;PP;PF;POF;FA;;F;;19,000;3,000;10,000;PZ;15W;15WA
RBPS0QM43;ZCO1;RB;0QM;PP;PF;POF;FA;;F;;5,000;3,000;11,000;PZ;15W;15WA
RBPS0RC103;ZCO1;RB;0RC;PP;PF;POF;FA;;F;;18,000;2,500;10,000;PZ;15W;15WA
RBPS0RC127;ZCO1;RB;0RC;PP;PF;POF;FA;;F;;11,000;2,500;9,000;PZ;15W;15WA
RBPS0RC128;ZCO1;RB;0RC;PP;PF;POF;FA;;F;;13,000;2,500;7,000;PZ;15W;15WA
RBPS0RC130;ZCO1;RB;0RC;PP;PF;POF;FA;;F;;14,000;2,500;8,000;PZ;15W;15WA
RBPS0RC133;ZCO1;RB;0RC;PP;PF;POF;FA;;F;;15,000;2,500;9,000;PZ;15W;15WA
RBPS0RC43;ZCO1;RB;0RC;PP;PF;POF;FA;;F;;5,000;3,000;11,000;PZ;15W;15WA
RBPS0RK103;ZCO1;RB;0RK;PP;PF;POF;FA;;F;;10,000;3,000;14,000;PZ;15W;15WA
RBPS0RK113;ZCO1;RB;0RK;PP;PF;POF;FA;;F;;19,000;3,000;10,000;PZ;15W;15WA
RBPS0RK120;ZCO1;RB;0RK;PP;PF;POF;FA;;F;;14,000;3,000;9,000;PZ;15W;15WA
RBPS0RK133;ZCO1;RB;0RK;PP;PF;POF;FA;;F;;13,000;3,000;8,000;PZ;15W;15WA
RBPS0RK43;ZCO1;RB;0RK;PP;PF;POF;FA;;F;;5,000;3,000;11,000;PZ;15W;15WA
RBPS0RK47;ZCO1;RB;0RK;PP;PF;POF;FA;;F;;18,000;3,000;10,000;PZ;15W;15WA
RBPS0RK516;ZCO1;RB;0RK;PP;PF;POF;FA;;F;;16,000;1,000;10,000;PZ;15W;15WA
RBPS0RM103;ZCO1;RB;0RM;PP;PF;POF;FA;;F;;18,000;2,500;10,000;PZ;15W;15WA
RBPS0RM113;ZCO1;RB;0RM;PP;PF;POF;FA;;F;;19,000;2,500;10,000;PZ;15W;15WA
RBPS0RM116;ZCO1;RB;0RM;PP;PF;POF;FA;;F;;19,000;2,500;10,000;PZ;15W;15WA
RBPS0RM120;ZCO1;RB;0RM;PP;PF;POF;FA;;F;;14,000;2,500;9,000;PZ;15W;15WA
RBPS0RN102;ZCO1;RB;0RN;PP;PF;POF;FA;;F;;12,000;2,000;10,000;PZ;15W;15WA
RBPS0RN103;ZCO1;RB;0RN;PP;PF;POF;FA;;F;;12,000;2,000;10,000;PZ;15W;15WA
RBPS0RN104;ZCO1;RB;0RN;PP;PF;POF;FA;;F;;17,000;2,000;13,000;PZ;15W;15WA
RBPS0RN113;ZCO1;RB;0RN;PP;PF;POF;FA;;F;;19,000;2,000;10,000;PZ;15W;15WA
RBPS0RN139;ZCO1;RB;0RN;PP;PF;POF;FA;;F;;10,000;2,000;5,000;PZ;15W;15WA
RBPS0RN48;ZCO1;RB;0RN;PP;PF;POF;FA;;F;;9,000;2,000;18,000;PZ;15W;15WA
RBSC09202;ZCO1;RB;092;CZ;TR;TRT;;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC09203;ZCO1;RB;092;CZ;SV;SVT;;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0CN01;ZCO1;RB;0CN;CZ;DE;DEP;FA;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0CN01NAP;ZCO1;RB;0CN;CZ;DE;DEP;FA;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0CN02;ZCO1;RB;0CN;CZ;TR;TRP;FA;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0CN03;ZCO1;RB;0CN;CZ;ST;STP;FA;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0CN04;ZCO1;RB;0CN;CZ;TR;TRT;FA;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0CP01CAM;ZCO1;RB;0CP;CZ;TR;TRZ;FA;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0CP02CAM;ZCO1;RB;0CP;CZ;TR;TRZ;FA;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0CP03CAM;ZCO1;RB;0CP;CZ;ST;STZ;FA;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0U101;ZCO1;RB;0U1;CZ;SS;ALL;;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0U102;ZCO1;RB;0U1;CZ;TR;TRF;;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0U104;ZCO1;RB;0U1;CZ;ST;STF;;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0U301VER;ZCO1;RB;0U3;CZ;SS;CMO;;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0U302VER;ZCO1;RB;0U3;CZ;SS;CMO;;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0U401CAM;ZCO1;RB;0U4;CZ;SU;SUT;;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0U402CAM;ZCO1;RB;0U4;CZ;SU;SUT;;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0U403CAM;ZCO1;RB;0U4;CZ;SU;SUT;;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0U501;ZCO1;RB;0U5;CZ;DE;DEP;;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0U502;ZCO1;RB;0U5;CZ;TR;TRP;;;F;;0,000;0,000;0,000;PAA;15W;15WA
RBSC0U503;ZCO1;RB;0U5;CZ;ST;STT;;;F;;0,000;0,000;0,000;PAA;15W;15WA
